DocId	RawFormulaVal	Label
0	0.3578970969	1
1	0.360446354	1
2	0.3764639564	1
3	0.3705898459	1
4	0.3608637458	1
5	0.3021097779	1
6	0.3519048282	1
7	0.3273327148	1
8	0.3661416821	1
9	0.374957963	1
10	0.3705898459	1
11	0.361648407	1
12	0.3784397402	1
13	0.3582771989	1
14	0.3756354311	1
15	0.3199560059	1
16	0.3773398528	1
17	0.3150961232	1
18	0.3797321861	1
19	0.3503988348	1
20	0.3053700232	1
21	0.3491632948	1
22	0.3337811409	1
23	0.3357569247	1
24	0.3634735842	1
25	0.3337811409	1
26	0.3690838525	1
27	0.2512038283	1
28	0.3519048282	1
29	0.377443843	1
30	0.3693535733	1
31	0.3163844757	1
32	0.3752595464	1
33	0.317071907	1
34	0.3337811409	1
35	0.3713203785	1
36	0.3721004489	1
37	0.298957906	1
38	0.3734973076	0
39	0.2255349887	0
40	0.3225143383	0
41	0.3288387083	0
42	0.2528900118	0
43	0.3048079054	0
44	0.3357569247	0
45	0.3135901298	0
46	0.2760250852	0
47	0.270378033	0
48	0.2919456615	0
49	0.3059058875	0
50	0.3288387083	0
