y,age,fnlwgt,edu_num,cap_gain,cap_loss,hours
0.000000,39.000000,77516.000000,13.000000,2174.000000,0.000000,40.000000
0.000000,50.000000,83311.000000,13.000000,0.000000,0.000000,13.000000
0.000000,38.000000,215646.000000,9.000000,0.000000,0.000000,40.000000
0.000000,53.000000,234721.000000,7.000000,0.000000,0.000000,40.000000
0.000000,28.000000,338409.000000,13.000000,0.000000,0.000000,40.000000
0.000000,37.000000,284582.000000,14.000000,0.000000,0.000000,40.000000
0.000000,49.000000,160187.000000,5.000000,0.000000,0.000000,16.000000
1.000000,52.000000,209642.000000,9.000000,0.000000,0.000000,45.000000
1.000000,31.000000,45781.000000,14.000000,14084.000000,0.000000,50.000000
1.000000,42.000000,159449.000000,13.000000,5178.000000,0.000000,40.000000
1.000000,37.000000,280464.000000,10.000000,0.000000,0.000000,80.000000
1.000000,30.000000,141297.000000,13.000000,0.000000,0.000000,40.000000
0.000000,23.000000,122272.000000,13.000000,0.000000,0.000000,30.000000
0.000000,32.000000,205019.000000,12.000000,0.000000,0.000000,50.000000
1.000000,40.000000,121772.000000,11.000000,0.000000,0.000000,40.000000
0.000000,34.000000,245487.000000,4.000000,0.000000,0.000000,45.000000
0.000000,25.000000,176756.000000,9.000000,0.000000,0.000000,35.000000
0.000000,32.000000,186824.000000,9.000000,0.000000,0.000000,40.000000
0.000000,38.000000,28887.000000,7.000000,0.000000,0.000000,50.000000
1.000000,43.000000,292175.000000,14.000000,0.000000,0.000000,45.000000
1.000000,40.000000,193524.000000,16.000000,0.000000,0.000000,60.000000
0.000000,54.000000,302146.000000,9.000000,0.000000,0.000000,20.000000
0.000000,35.000000,76845.000000,5.000000,0.000000,0.000000,40.000000
0.000000,43.000000,117037.000000,7.000000,0.000000,2042.000000,40.000000
0.000000,59.000000,109015.000000,9.000000,0.000000,0.000000,40.000000
1.000000,56.000000,216851.000000,13.000000,0.000000,0.000000,40.000000
0.000000,19.000000,168294.000000,9.000000,0.000000,0.000000,40.000000
1.000000,54.000000,180211.000000,10.000000,0.000000,0.000000,60.000000
0.000000,39.000000,367260.000000,9.000000,0.000000,0.000000,80.000000
