2	1
2	0
2	1
2	0
2	0
2	1
7	6
7	8
7	3
5	6
4	6
9	6
5	8
5	3
4	8
9	8
4	3
9	3
7	6
7	3
7	8
9	6
9	3
9	8
4	6
5	6
4	3
5	3
4	8
5	8
9	8
5	8
7	8
4	8
9	3
9	6
5	3
5	6
7	3
4	3
7	6
4	6
30	28
30	23
30	21
30	33
30	19
30	16
30	12
30	22
30	14
30	18
30	34
30	24
30	19
30	27
30	22
30	25
30	17
30	23
30	35
30	16
30	12
30	18
30	32
30	35
30	13
30	20
30	18
30	11
30	17
30	26
30	12
30	27
30	14
30	33
30	19
30	34
30	25
72	44
72	61
72	77
59	77
72	58
59	58
72	45
59	45
72	71
72	42
72	82
72	52
72	40
72	64
72	50
72	73
59	71
59	42
59	82
59	52
59	40
59	64
59	50
59	73
59	76
59	79
59	55
59	60
59	84
59	74
69	76
69	79
69	55
69	60
69	84
69	74
69	46
69	39
69	70
69	78
69	65
69	41
69	62
69	68
69	47
69	51
69	53
69	80
69	51
69	56
69	42
69	75
69	61
69	43
69	49
69	46
69	68
69	66
69	76
69	73
69	53
69	57
69	54
69	82
69	60
69	70
59	66
59	76
59	73
72	73
59	53
72	53
59	57
72	57
59	54
72	54
59	82
72	82
59	60
72	60
59	70
72	70
59	48
59	62
59	78
59	55
59	79
59	80
59	63
59	67
72	48
72	62
72	78
72	55
72	79
72	80
72	63
72	67
72	52
72	77
59	74
59	41
59	42
59	43
59	57
59	79
59	46
59	81
59	77
59	75
59	82
59	45
72	79
72	46
72	81
72	77
72	75
72	82
72	45
72	80
72	48
72	58
72	39
72	49
72	76
72	52
72	55
72	66
72	65
72	53
69	73
69	40
69	64
69	70
69	84
69	71
69	68
69	63
69	50
69	60
69	47
69	78
69	61
69	83
69	54
69	62
69	67
